"","ServiceStationName","Address"
"1","Metro Petroleum Ballina","323 River Street, BALLINA NSW 2478"
"6","BP North Ballina","Bungalow ROAD, North Ballina NSW 2478"
"10","Metro Fuel","36-38 Lane Cove Rd, RYDE NSW 2112"
"12","Metro Lane Cove","533,Mowbray Rd, Lane Cove NSW 2066"
"13","Caltex Villawood","276 Miller Road, Villawood NSW 2144"
"14","Randwick Petroleum","88 Clovelly Rd, RANDWICK NSW 2031"
"17","METRO HURLSTONE PARK","13 Canterbury Road, CANTERBURY NSW 2193"
"20","Metro Tuggerah","150 Pacific Hwy, TUGGERAH NSW 2259"
"22","Metro Petroleum Cootamundra","111 Sutton St, COOTAMUNDRA NSW 2590"
"24","Metro Petroleum Bexley North","307-309 Bexley Rd, BEXLEY NORTH NSW 2207"
"27","Metro Crown St Wollongong","394 Crown St, WOLLONGONG NSW 2500"
"28","Metro Fuel Cliftleigh","80 Main Road, Cliftleigh NSW 2321"
"30","Independent Ulmarra","55 Pacific Highway, Ulmarra NSW 2462"
"32","Metro Petroleum Tarro","107 Anderson Drive, TARRO NSW 2322"
"34","Metro Marrickville","103 Sydemham Road, Marrickville NSW 2204"
"35","Speedway Arncliffe","32 Princes Hwy, Arncliffe NSW 2205"
"36","Metro Tempe","531 Princes Hwy, TEMPE NSW 2044"
"37","Metro Cessnock","102 Wollombi Rd, CESSNOCK NSW 2325"
"39","Metro Gosford","57 Central Coast Highway, West Gosford NSW 2250"
"42","Metro Bonnyrigg","709 Cabramatta Road, Bonnyrigg NSW 2177"
"43","Metro Sandgate","61 Maitland Road, SANDGATE NSW 2304"
"45","BP ROADHOUSE WALLABADAH","3055 New England Highway, WALLABADAH NSW 2343"
"47","BP Tomingley","Newell Highway, Tomingley NSW 2869"
"51","Metro Epping","30 Bridge Street, EPPING NSW 2121"
"52","Metro North Wyong","6b 1-10 Amy Close, WYONG NSW 2259"
"54","BP McGraths Hill","126 Windsor Rd, MCGRATHS HILL NSW 2756"
"58","Metro Fuel Haberfield","163-165 Parramatta Rd, HABERFIELD NSW 2045"
"60","Metro Revesby","6,Doyle Rd, Revesby NSW 2210"
"63","Metro Fuel Bellambi","209-211 Rothery St, Bellambi NSW 2518"
"67","Metro Petroleum Bellbird","380 Wollombi Rd, BELLBIRD NSW 2325"
"69","Metro Fuel Young","186 Nasmyth St, Young NSW 2594"
"82","Pearl Energy Bathurst","146 William Street, BATHURST NSW 2795"
"86","United Petroleum Tamworth","419-437 Goonoo-Goonoo Road, Tamworth NSW 2340"
"87","Speedway Haberfield","273 Parramatta Rd, Haberfield NSW 2045"
"89","Budget Petrol","37 Crystal St., Petersham NSW 2049"
"90","BP Smeaton Grange","1 Dunn Road, Smeaton Grange NSW 2567"
"92","Gas to connect","54c Fairfield Road, GUILDFORD WEST NSW 2161"
"96","West Yagoona BP","740 Hume Highway, Yagoona NSW 2199"
"100","Caltex Kelso","19 Sydney Road, KELSO NSW 2795"
"101","Metro Fuel Marrickville","93-99 Addison Road, Marrickville NSW 2204"
"103","Vignes Independent Petroleum","28 Sawtell Rd, TOORMINA NSW 2452"
"105","Caltex Granville","144 Parramatta Rd, GRANVILLE NSW 2142"
"106","Caltex Star Mart Bonnyrigg","Smithfield Rd, Cnr Elizabeth Drive, BONNYRIGG NSW 2177"
"107","Westside Kenthurst","86 Kenthurst Road, Kenthurst NSW 2156"
"109","Budget Campsie","403 Canterbury Road, Campsie NSW 2194"
"112","Westside Doonside","13-15 Doonside Rd, Doonside NSW 2767"
"116","Mobil Fuel North Haven","Shop 1 531 Ocean Dr, NORTH HAVEN NSW 2443"
"118","Metro Petroleum Earlwood","281 Homer St, EARLWOOD NSW 2206"
"121","Caltex Woolworths Windsor","11 Macquarie Street, Windsor NSW 2756"
"125","Caltex Woolworths Richmond","Cnr Lennox & East Market Streets, Richmond NSW 2753"
"129","BUDGET PETROL BEXLEY ROAD CAMPSIE","65 Bexley Rd, Campsie NSW 2194"
"130","Metro Pendle Hill","229 Wentworth Avenue, Pendle Hill NSW 2145"
"131","Metro Fuel North Avalon","662-664 Barrenjoey Rd, North Avalon NSW 2107"
"134","United Petroleum Orange South","176-178 Peisley Street, ORANGE NSW 2800"
"138","United Petroleum Maitland","Les Darcy Drive, Maitland NSW 2320"
"139","Metro Petroleum Goulburn","62-68 Clinton Street, GOULBURN NSW 2580"
"141","Caltex Bombala Depot","1 High Street, BOMBALA NSW 2632"
"142","Riverview Service Centre","595 Ocean Dr, NORTH HAVEN NSW 2443"
"143","BP Seven Hills","154-156 Prospect Hwy, Seven Hills NSW 2147"
"146","BP Woy Woy","57 Ocean Beach Road, Woy Woy NSW 2256"
"148","BP Quakers Hill","450 Quakers Hill Pkw, Quakers Hill NSW 2763"
"152","United Petroleum Orange","174 Woodward Street, Orange NSW 2800"
"155","Caltex Woolworths Prospect","360 Flushcombe Road, Prospect NSW 2148"
"159","Caltex Woolworths Dural","532 Old Northern Road, Dural NSW 2158"
"163","7-Eleven Bligh Park","735 George Street, Bligh Park NSW 2756"
"166","Caltex Starmart Punchbowl","1285-1289 Canterbury Rd, PUNCHBOWL NSW 2196"
"170","Caltex Miller","86 Cartwright Avenue, MILLER NSW 2168"
"174","Caltex Star Mart Chatswood","572 Pacific Hwy, Chatswood NSW 2067"
"178","Caltex Starmart Lakemba","516 Punchbowl Rd, LAKEMBA NSW 2195"
"182","Budget Petrol Eastlakes","102 Maloney St, Eastlakes NSW 2018"
"185","BP Salt Ash","Corner Richardson Road and Nelson Bay, SALT ASH NSW 2318"
"190","BP Allambie Heights","132 Allambie road, Allambie Heights NSW 2100"
"194","7-Eleven Marsden Park","861 Richmond Road, MARSDEN PARK NSW 2765"
"198","Caltex Woolworths Rosemeadow","3 Thomas Rose Drive, Rosemeadow NSW 2560"
"202","Shell Wandandian","2720 Princes Highway, WANDANDIAN NSW 2540"
"206","7-Eleven Werrington","Lot 122 Dunheved Road, Werrington NSW 2747"
"209","Caltex Merrylands","150 Woodville Rd, MERRYLANDS NSW 2160"
"213","Caltex Muswellbrook (Sydney St)","12-16 Sydney Street, MUSWELLBROOK NSW 2333"
"214","Caltex Ambarvale","37 Woodhouse Dr Cnr Wickfield St, Ambarvale NSW 2560"
"218","Caltex North Penrith","2 Lugard St, PENRITH NSW 2750"
"222","Caltex Muswellbrook (Maitland Rd)","84-86 Maitland St, MUSWELLBROOK NSW 2333"
"226","Caltex Penrith","153 Coreen Ave Cnr Castlereagh Rd, Penrith NSW 2750"
"230","Caltex Mt Victoria","36 Great Western Highway, MOUNT VICTORIA NSW 2786"
"233","Caltex Rutherford West","387 New England Hwy, RUTHERFORD NSW 2320"
"237","Caltex Cambridge","Lot 6 Star Court, CAMBRIDGE PARK NSW 2747"
"240","MOBIL LAKE ALBERT","53 Gregory Cres, LAKE ALBERT NSW 2650"
"241","BP Morisset","50 Alliance Avenue, Morisset NSW 2264"
"242","Metro Londonderry","486 Londonderry Rd, LONDONDERRY NSW 2753"
"244","United Petroleum Yass","275-279 Comur Street, Yass NSW 2582"
"248","Coles Express Kooragang","130 Cormorant Rd (Po Box 222), Kooragang NSW 2304"
"249","7-Eleven Castle Hill","255 -257 Old Northern Road, Castle Hill NSW 2154"
"252","Metro Petroleum Liverpool","64 Orange Grove Rd, WARWICK FARM NSW 2170"
